,artists
1064,Paul Simon
1065,Men I Trust
1066,Old Dominion
1067,Supernova Ent
1068,Haze
1069,Sheryl Crow
1070,Davido
1071,Dj Brunin XM
1072,Dido
1073,LUM!X
1074,Stray Kids
1075,Darius Rucker
1076,Starship
1077,Cheat Codes
1078,Intense
1079,Ray Charles
1080,America
1081,Lenin RamÃ­rez
1082,Deorro
1083,Lauren Spencer Smith
1084,Calle 13
1085,Pailita
1086,Gerardo Ortiz
1087,Mainstreet
1088,Fugees
1089,Rekha Bhardwaj
1090,HARDY
1091,Carlos Rivera
1092,Blxst
1093,Bibi Babydoll
1094,Mc Paiva ZS
1095,Dei V
1096,The Vamps
1097,OMI
1098,ZÃ© Felipe
1099,Tom Petty and the Heartbreakers
1100,LiL CaKe
1101,Bvga Beatz
1102,Mabel
1103,Santhosh Narayanan
1104,Abhijeet
1105,Varun Jain
1106,Alan Menken
1107,Lee Brice
1108,Tito Double P
1109,Miranda Lambert
1110,Iron Maiden
1111,Robert Miles
1112,Willie Nelson
1113,Dusty Springfield
1114,MKTO
1115,Ha*Ash
1116,Sash!
1117,Niklas Dee
1118,JP Saxe
1119,Omar Apollo
1120,Casper Magico
1121,Cody Johnson
1122,Elderbrook
1123,American Authors
1124,WIU
1125,Mc Daniel
1126,Jessie Murph
1127,Oh Wonder
1128,Haricharan
1129,Gminxr
1130,aespa
1131,Keith Urban
1132,BYOR
1133,La Bouche
1134,UB40
1135,JP Cooper
1136,Nina Simone
1137,Beach Bunny
1138,Shweta Mohan
1139,Selena
1140,John Travolta
1141,Rashmi Virag
1142,Victoria MonÃ©t
1143,DJ 900
1144,MC Hariel
1145,Sin Bandera
1146,Majid Jordan
1147,Murilo Huff
1148,Years & Years
1149,Diana Ross
1150,Gryffin
1151,Neeraj Shridhar
1152,Boston
1153,Brooks & Dunn
1154,VINAI
1155,4 Non Blondes
1156,Jay Sean
1157,Parmish Verma
1158,Cali Y El Dandee
1159,Why Don't We
1160,Ana Gabriel
1161,Belinda
1162,Skillet
1163,Keyshia Cole
1164,Lady A
1165,Patrick Watson
1166,IVE
1167,Mario
1168,Pineapple StormTv
1169,Freddie Dredd
1170,J Hus
1171,The Animals
1172,Mike WiLL Made-It
1173,El Jordan 23
1174,Omega
1175,ZECCA
1176,Luny Tunes
1177,Haddaway
1178,Shaarib Toshi
1179,Antara Mitra
1180,Sam Cooke
1181,Iggy Azalea
1182,Nusrat Fateh Ali Khan
1183,Powfu
1184,George Harrison
1185,Etta James
1186,Caralisa Monteiro
1187,Jul
1188,John Summit
1189,Masked Wolf
1190,Crazy Mano
1191,Audioslave
1192,Kavita Seth
1193,GAMPER & DADONI
1194,Brando
1195,Virgoun
1196,Palak Muchhal
1197,David Bisbal
1198,Novo Amor
1199,Baco Exu do Blues
1200,Wallows
1201,Jungle
1202,Axwell /\ Ingrosso
1203,Def Leppard
1204,Two Door Cinema Club
1205,Naresh Iyer
1206,Nick Jonas
1207,Bob Seger
1208,Tion Wayne
1209,Cascada
